student_id,gender,study_hours,attendance_rate,previous_grade,participation_score,final_grade
S204,Female,1,76,6.5,4,F
S205,Female,12,92,10,9,D
S206,Female,7.5,62.67,9.5,5,F
S207,Female,3.5,93.33,7,5,F
S208,Female,3.5,86.67,11.5,6,D
S209,Female,1,92,9,5,D
S210,Female,7.5,92,7,8,F
S211,Female,12,86.67,8,9,F
S212,Male,3.5,82.67,12,6,D
S213,Female,3.5,100,12.5,7,C
S214,Male,3.5,80,6.5,5,F
S215,Female,1,84,9,4,D
S216,Female,3.5,97.33,14.5,7,C
S217,Female,3.5,70.67,6,4,F
S218,Male,3.5,82.67,6,5,F
S219,Female,1,96,7,6,F
S220,Female,7.5,94.67,9.5,8,D
S221,Female,3.5,97.33,6,7,F
S222,Female,7.5,100,5.5,8,F
S223,Female,3.5,97.33,16,7,B
S224,Male,3.5,100,12.5,7,D
S225,Female,7.5,100,13,9,C
S226,Female,3.5,78.67,8.5,5,F
S227,Female,3.5,86.67,15.5,6,C
S228,Male,3.5,97.33,11.5,7,D
S229,Male,3.5,81.33,9,6,F
S230,Female,7.5,86.67,11,8,D
S231,Female,3.5,81.33,13,6,C
S232,Male,3.5,94.67,11,7,D
S233,Male,3.5,81.33,10,6,F
S234,Male,3.5,97.33,13.5,7,D
S235,Male,3.5,76,8,5,F
S236,Male,7.5,86.67,10,8,D
S237,Male,3.5,94.67,13.5,7,D
S238,Female,1,73.33,12.5,4,D
S239,Female,3.5,97.33,12,7,D
S240,Male,3.5,100,7,6,F
S241,Male,3.5,81.33,12,6,D
S242,Male,3.5,97.33,10.5,7,D
S243,Male,1,100,3,6,F
S244,Male,1,100,12.5,6,D
S245,Female,7.5,100,3.5,8,F
S246,Male,1,92,18,5,A
S247,Male,1,94.67,12,5,D
S248,Male,1,78.67,7,2,F
S249,Male,3.5,89.33,4,6,F
S250,Male,1,100,14,6,C
S251,Male,1,100,7,5,F
S252,Male,3.5,92,8.5,6,D
S253,Male,1,94.67,7.5,4,F
S254,Male,1,100,8.5,6,F
S255,Male,1,100,10,6,D
S256,Male,1,97.33,8,6,F
S257,Female,12,92,13,9,D
S258,Male,3.5,84,11,6,D
S259,Male,3.5,89.33,14.5,7,C
S260,Female,12,100,9.5,10,F
S261,Female,3.5,72,17.5,5,A
S262,Male,3.5,97.33,8,7,F
S263,Male,7.5,98.67,12.5,9,D
S264,Female,7.5,94.67,9.5,8,F
S265,Female,7.5,100,9.5,9,F
S266,Male,3.5,82.67,17,6,B
S267,Male,3.5,97.33,9,7,D
S268,Female,3.5,89.33,11,7,D
S269,Male,3.5,86.67,9.5,6,D
S270,Female,3.5,100,3,6,F
S271,Female,3.5,80,9,5,F
S272,Female,12,94.67,14.5,10,C
S273,Female,3.5,97.33,11,7,D
S274,Male,3.5,97.33,14.5,7,C
S275,Female,3.5,97.33,10,7,D
S276,Female,3.5,92,12,6,D
S277,Female,3.5,0,9.5,4,F
S278,Male,1,70.67,9,4,F
S279,Female,3.5,80,8.5,5,F
S280,Male,1,89.33,10.5,6,D
S281,Male,1,60,8,4,F
S282,Male,1,74.67,10,3,D
S283,Female,12,98.67,12,10,D
S284,Female,3.5,94.67,8.5,7,D
S285,Female,3.5,94.67,9.5,7,D
S286,Male,3.5,97.33,11,7,D
S287,Female,7.5,93.33,18,8,A
S288,Female,7.5,92,12.5,8,D
S289,Male,7.5,92,14.5,8,C
S290,Male,3.5,88,14,7,C
S291,Male,3.5,85.33,11.5,6,D
S292,Female,7.5,100,15,8,C
S293,Female,3.5,84,12,5,D
S294,Female,12,92,18,9,A
S295,Male,7.5,89.33,13.5,8,C
S296,Male,1,94.67,13,5,D
S297,Female,3.5,100,9.5,8,F
S298,Female,3.5,86.67,9,6,F
S299,Female,12,100,13.5,9,C
S300,Male,1,93.33,15.5,5,B
S301,Female,3.5,81.33,11,5,D
S302,Male,1,100,11,6,D
S303,Female,7.5,100,13.5,8,C
S304,Female,12,100,17,10,A
S305,Male,3.5,73.33,14.5,5,D
S306,Female,3.5,89.33,13,6,D
S307,Male,1,100,17.5,6,A
S308,Male,1,49.33,8.5,3,F
S309,Male,3.5,100,13.5,7,D
S310,Female,3.5,76,11,5,D
S311,Female,3.5,100,9,7,F
S312,Female,3.5,73.33,13,4,D
S313,Male,3.5,96,12,6,D
S314,Female,3.5,70.67,11.5,4,D
S315,Female,7.5,81.33,14,5,D
S316,Female,7.5,46.67,12,5,D
S317,Female,3.5,100,8,8,F
S318,Female,7.5,88,9.5,8,F
S319,Female,7.5,100,11,9,D
S320,Female,3.5,97.33,11,7,D
S321,Female,3.5,69.33,13,5,D
S322,Female,3.5,84,10,6,F
S323,Female,7.5,96,11,8,D
S324,Female,7.5,98.67,13,8,C
S325,Female,7.5,100,15.5,8,C
S326,Male,7.5,96,10.5,8,D
S327,Male,1,96,14.5,6,B
S328,Male,1,89.33,10.5,5,D
S329,Female,7.5,90.67,9.5,8,F
S330,Female,7.5,94.67,14,8,C
S331,Male,12,97.33,8.5,10,F
S332,Female,7.5,90.67,13,7,C
S333,Female,3.5,100,3.5,8,F
S334,Female,3.5,100,8,8,F
S335,Female,12,100,9.5,10,F
S336,Female,7.5,78.67,15.5,6,C
S337,Female,7.5,84,13.5,6,D
S338,Female,3.5,100,7.5,7,F
S339,Female,12,90.67,15.5,9,B
S340,Female,3.5,94.67,9.5,7,D
S341,Female,7.5,94.67,11.5,8,D
S342,Male,3.5,100,10,7,F
S343,Male,3.5,85.33,15.5,6,C
S344,Female,3.5,100,8.5,6,F
S345,Female,7.5,94.67,10.5,8,D
S346,Female,7.5,90.67,13,7,C
S347,Male,7.5,88,15.5,7,B
S348,Male,7.5,100,10,8,F
S349,Female,7.5,100,14,9,C
S350,Male,1,86.67,12,4,D
S351,Male,3.5,89.33,7.5,4,F
S352,Male,3.5,97.33,13,7,D
S353,Male,1,90.67,7.5,4,F
S354,Male,1,94.67,8,5,F
S355,Male,3.5,94.67,12,7,D
S356,Female,3.5,100,9.5,7,F
S357,Female,3.5,94.67,12.5,7,D
S358,Female,3.5,97.33,12,7,D
S359,Male,1,94.67,10,5,D
S360,Female,7.5,100,17,8,B
S361,Female,3.5,100,13,7,D
S362,Male,3.5,97.33,12.5,6,D
S363,Female,3.5,100,11,7,D
S364,Female,3.5,100,15.5,8,C
S365,Female,3.5,100,11.5,7,D
S366,Male,3.5,94.67,10,7,D
S367,Male,7.5,100,13,8,D
S368,Female,1,100,6.5,5,F
S369,Female,1,100,10.5,6,D
S370,Female,3.5,86.67,13,6,D
S371,Female,3.5,94.67,7,6,F
S372,Male,1,96,13,6,D
S373,Female,7.5,89.33,12,8,D
S374,Female,1,81.33,5.5,5,F
S375,Female,7.5,100,18.5,8,A
S376,Female,7.5,97.33,8,8,D
S377,Female,7.5,94.67,14.5,7,C
S378,Female,3.5,94.67,8.5,7,D
S379,Female,3.5,100,15,7,C
S380,Female,3.5,77.33,10,6,D
S381,Male,3.5,94.67,14.5,7,C
S382,Male,1,93.33,6.5,6,F
S383,Male,3.5,97.33,11,7,D
S384,Male,1,100,5.5,5,F
S385,Male,1,81.33,5.5,4,F
S386,Female,7.5,97.33,9.5,8,D
S387,Female,1,90.67,5.5,6,F
S388,Female,7.5,100,6,8,F
S389,Female,3.5,100,8,7,F
S390,Female,3.5,100,5.5,7,F
S391,Male,3.5,85.33,9,5,F
S392,Male,1,96,15,6,B
S393,Male,1,96,9,4,F
S394,Male,1,100,11.5,6,D
S395,Male,1,93.33,8.5,5,F
